153.0,96.0,46.0,13.0,0.0,
118.0,146.0,46.0,14.0,0.0,
17.0,31.0,46.0,11.0,3.0,
5.0,123.0,168.0,3.0,11.0,
162.0,86.0,168.0,4.0,9.0,
113.0,4.0,168.0,12.0,0.0,
193.0,139.0,168.0,11.0,3.0,
13.0,82.0,168.0,3.0,10.0,
91.0,6.0,168.0,11.0,2.0,
64.0,54.0,168.0,11.0,2.0,
17.0,57.0,168.0,0.0,14.0,
195.0,53.0,168.0,0.0,14.0,
53.0,108.0,168.0,1.0,13.0,
136.0,5.0,168.0,7.0,7.0,
125.0,40.0,168.0,2.0,11.0,
97.0,70.0,168.0,12.0,1.0,
117.0,48.0,168.0,14.0,0.0,
126.0,106.0,168.0,0.0,14.0,
7.0,181.0,168.0,0.0,15.0,
82.0,85.0,146.0,1.0,12.0,
137.0,0.0,146.0,10.0,3.0,
55.0,39.0,146.0,8.0,6.0,
193.0,100.0,146.0,5.0,9.0,
96.0,20.0,146.0,14.0,1.0,
100.0,175.0,146.0,6.0,7.0,
62.0,101.0,146.0,1.0,14.0,
68.0,119.0,146.0,9.0,4.0,
63.0,169.0,146.0,7.0,6.0,
194.0,195.0,146.0,7.0,7.0,
36.0,63.0,146.0,12.0,1.0,
106.0,66.0,137.0,10.0,5.0,
95.0,78.0,137.0,14.0,0.0,
70.0,152.0,137.0,15.0,0.0,
102.0,86.0,137.0,12.0,2.0,
59.0,197.0,137.0,12.0,0.0,
12.0,73.0,137.0,13.0,0.0,
154.0,36.0,137.0,15.0,0.0,
180.0,36.0,137.0,7.0,6.0,
156.0,2.0,137.0,14.0,0.0,
64.0,136.0,137.0,13.0,0.0,
195.0,198.0,137.0,15.0,0.0,
71.0,132.0,137.0,7.0,8.0,
147.0,31.0,137.0,11.0,2.0,
41.0,49.0,38.0,2.0,12.0,
48.0,98.0,38.0,2.0,12.0,
60.0,141.0,38.0,13.0,2.0,
57.0,136.0,38.0,4.0,10.0,
136.0,158.0,38.0,10.0,1.0,
87.0,79.0,38.0,6.0,8.0,
0.0,44.0,38.0,8.0,6.0,
65.0,119.0,38.0,9.0,5.0,
111.0,92.0,116.0,2.0,12.0,
191.0,145.0,116.0,3.0,10.0,
160.0,151.0,116.0,3.0,11.0,
65.0,62.0,116.0,14.0,0.0,
142.0,130.0,116.0,4.0,9.0,
24.0,44.0,116.0,5.0,9.0,
57.0,156.0,116.0,2.0,12.0,
59.0,15.0,116.0,10.0,3.0,
187.0,115.0,15.0,1.0,11.0,
182.0,10.0,15.0,6.0,7.0,
100.0,113.0,15.0,1.0,13.0,
158.0,84.0,15.0,10.0,5.0,
19.0,81.0,15.0,0.0,15.0,
19.0,89.0,15.0,0.0,14.0,
139.0,55.0,15.0,1.0,11.0,
100.0,109.0,15.0,3.0,11.0,
125.0,107.0,15.0,1.0,12.0,
141.0,180.0,15.0,0.0,14.0,
170.0,147.0,15.0,2.0,12.0,
43.0,195.0,15.0,4.0,10.0,
197.0,67.0,193.0,2.0,12.0,
171.0,80.0,193.0,5.0,9.0,
106.0,80.0,193.0,3.0,9.0,
192.0,135.0,193.0,0.0,13.0,
172.0,57.0,193.0,3.0,10.0,
103.0,186.0,193.0,3.0,10.0,
60.0,138.0,193.0,10.0,4.0,
65.0,158.0,193.0,9.0,4.0,
179.0,39.0,193.0,8.0,7.0,
113.0,122.0,193.0,0.0,13.0,
60.0,189.0,193.0,1.0,13.0,
167.0,64.0,193.0,6.0,6.0,
160.0,181.0,193.0,1.0,11.0,
48.0,59.0,93.0,11.0,2.0,
67.0,197.0,93.0,2.0,10.0,
112.0,58.0,93.0,8.0,6.0,
114.0,58.0,93.0,14.0,0.0,
81.0,55.0,93.0,11.0,2.0,
178.0,65.0,93.0,10.0,0.0,
44.0,65.0,93.0,13.0,1.0,
46.0,182.0,93.0,0.0,15.0,
30.0,114.0,93.0,13.0,0.0,
178.0,1.0,93.0,11.0,2.0,
33.0,14.0,133.0,11.0,1.0,
52.0,54.0,133.0,8.0,6.0,
42.0,9.0,133.0,5.0,9.0,
76.0,138.0,133.0,3.0,11.0,
62.0,3.0,133.0,13.0,1.0,
41.0,144.0,133.0,11.0,3.0,
42.0,20.0,133.0,12.0,2.0,
13.0,182.0,133.0,14.0,0.0,
156.0,4.0,184.0,2.0,12.0,
186.0,139.0,184.0,13.0,2.0,
168.0,73.0,184.0,3.0,11.0,
46.0,165.0,184.0,8.0,4.0,
100.0,53.0,184.0,9.0,5.0,
73.0,199.0,184.0,1.0,13.0,
125.0,144.0,184.0,11.0,3.0,
20.0,129.0,184.0,3.0,10.0,
168.0,171.0,184.0,3.0,10.0,
9.0,153.0,184.0,13.0,0.0,
102.0,175.0,184.0,3.0,9.0,
49.0,166.0,184.0,0.0,14.0,
138.0,50.0,184.0,3.0,11.0,
74.0,47.0,184.0,2.0,11.0,
141.0,187.0,184.0,14.0,0.0,
142.0,187.0,184.0,6.0,7.0,
9.0,86.0,125.0,5.0,9.0,
143.0,36.0,125.0,9.0,6.0,
81.0,5.0,125.0,12.0,2.0,
188.0,55.0,125.0,13.0,1.0,
174.0,126.0,125.0,14.0,1.0,
177.0,198.0,125.0,8.0,6.0,
158.0,99.0,125.0,14.0,0.0,
17.0,184.0,125.0,5.0,8.0,
127.0,7.0,24.0,0.0,14.0,
14.0,86.0,24.0,8.0,6.0,
190.0,42.0,24.0,3.0,11.0,
50.0,75.0,24.0,7.0,7.0,
36.0,164.0,24.0,8.0,5.0,
12.0,83.0,24.0,0.0,15.0,
158.0,160.0,24.0,2.0,12.0,
193.0,186.0,24.0,0.0,15.0,
96.0,34.0,24.0,7.0,6.0,
168.0,138.0,24.0,0.0,15.0,
114.0,130.0,24.0,6.0,7.0,
121.0,136.0,24.0,8.0,5.0,
81.0,126.0,24.0,0.0,15.0,
199.0,177.0,24.0,10.0,4.0,
143.0,173.0,24.0,4.0,10.0,
157.0,191.0,24.0,14.0,0.0,
57.0,46.0,24.0,2.0,12.0,
108.0,15.0,24.0,0.0,14.0,
31.0,15.0,24.0,1.0,13.0,
31.0,93.0,24.0,14.0,1.0,
163.0,157.0,24.0,5.0,9.0,
151.0,106.0,24.0,4.0,10.0,
124.0,10.0,63.0,8.0,6.0,
67.0,82.0,63.0,4.0,11.0,
115.0,98.0,63.0,6.0,7.0,
7.0,148.0,63.0,6.0,9.0,
7.0,79.0,63.0,5.0,7.0,
93.0,166.0,63.0,0.0,12.0,
199.0,154.0,63.0,4.0,8.0,
133.0,25.0,63.0,10.0,3.0,
192.0,132.0,63.0,6.0,7.0,
117.0,50.0,63.0,2.0,12.0,
36.0,146.0,63.0,1.0,12.0,
45.0,93.0,63.0,2.0,12.0,
130.0,181.0,63.0,0.0,15.0,
171.0,71.0,63.0,8.0,6.0,
191.0,120.0,17.0,6.0,7.0,
5.0,161.0,17.0,0.0,14.0,
175.0,178.0,17.0,8.0,5.0,
194.0,105.0,17.0,0.0,13.0,
40.0,165.0,17.0,10.0,4.0,
55.0,89.0,17.0,9.0,5.0,
132.0,125.0,17.0,6.0,8.0,
89.0,29.0,157.0,2.0,12.0,
170.0,80.0,157.0,2.0,12.0,
75.0,62.0,157.0,4.0,11.0,
90.0,21.0,157.0,0.0,14.0,
144.0,112.0,157.0,2.0,12.0,
176.0,103.0,157.0,8.0,7.0,
41.0,5.0,157.0,6.0,9.0,
194.0,32.0,157.0,3.0,11.0,
134.0,173.0,157.0,0.0,12.0,
179.0,146.0,157.0,13.0,2.0,
4.0,128.0,157.0,6.0,7.0,
190.0,194.0,106.0,12.0,3.0,
115.0,123.0,106.0,4.0,9.0,
74.0,161.0,106.0,0.0,14.0,
115.0,113.0,106.0,2.0,11.0,
87.0,26.0,106.0,5.0,8.0,
99.0,105.0,106.0,2.0,12.0,
72.0,141.0,106.0,2.0,12.0,
184.0,174.0,106.0,6.0,8.0,
53.0,163.0,106.0,10.0,3.0,
132.0,74.0,106.0,1.0,12.0,
164.0,69.0,106.0,15.0,0.0,
0.0,128.0,106.0,15.0,0.0,
187.0,16.0,106.0,0.0,12.0,
101.0,35.0,128.0,13.0,0.0,
84.0,162.0,128.0,0.0,14.0,
35.0,112.0,128.0,8.0,6.0,
93.0,138.0,128.0,1.0,14.0,
139.0,166.0,128.0,0.0,14.0,
186.0,193.0,128.0,5.0,7.0,
20.0,24.0,128.0,1.0,12.0,
4.0,157.0,128.0,10.0,3.0,
182.0,106.0,128.0,1.0,14.0,
109.0,35.0,64.0,3.0,9.0,
186.0,18.0,64.0,14.0,1.0,
56.0,26.0,64.0,0.0,15.0,
172.0,54.0,64.0,3.0,10.0,
97.0,36.0,64.0,0.0,13.0,
104.0,22.0,64.0,0.0,15.0,
5.0,25.0,64.0,8.0,4.0,
128.0,190.0,31.0,12.0,0.0,
150.0,190.0,31.0,14.0,1.0,
74.0,124.0,31.0,12.0,1.0,
105.0,4.0,31.0,0.0,13.0,
157.0,18.0,31.0,14.0,1.0,
46.0,117.0,31.0,0.0,13.0,
95.0,196.0,31.0,15.0,0.0,
151.0,179.0,31.0,13.0,1.0,
23.0,55.0,31.0,13.0,0.0,
134.0,19.0,31.0,13.0,1.0,
47.0,30.0,31.0,5.0,8.0,
115.0,93.0,31.0,10.0,3.0,
95.0,29.0,47.0,13.0,2.0,
101.0,117.0,47.0,12.0,2.0,
165.0,139.0,47.0,13.0,1.0,
158.0,49.0,47.0,2.0,12.0,
173.0,83.0,47.0,2.0,13.0,
88.0,36.0,47.0,7.0,8.0,
25.0,9.0,47.0,0.0,15.0,
126.0,39.0,47.0,10.0,1.0,
183.0,55.0,47.0,12.0,2.0,
0.0,142.0,47.0,13.0,1.0,
35.0,195.0,47.0,13.0,2.0,
74.0,184.0,47.0,12.0,1.0,
25.0,187.0,47.0,0.0,12.0,
166.0,176.0,47.0,6.0,6.0,
1.0,91.0,68.0,0.0,14.0,
140.0,10.0,68.0,7.0,6.0,
85.0,80.0,68.0,1.0,13.0,
113.0,161.0,68.0,13.0,0.0,
156.0,199.0,68.0,1.0,13.0,
3.0,48.0,68.0,0.0,12.0,
134.0,25.0,68.0,10.0,4.0,
53.0,181.0,68.0,9.0,5.0,
163.0,35.0,181.0,2.0,11.0,
114.0,123.0,181.0,2.0,13.0,
39.0,178.0,181.0,0.0,13.0,
29.0,139.0,181.0,8.0,5.0,
10.0,155.0,181.0,10.0,5.0,
144.0,90.0,181.0,0.0,13.0,
52.0,126.0,181.0,5.0,9.0,
40.0,77.0,181.0,2.0,13.0,
38.0,13.0,181.0,7.0,7.0,
18.0,172.0,181.0,6.0,9.0,
175.0,8.0,181.0,1.0,12.0,
123.0,180.0,181.0,5.0,9.0,
159.0,185.0,181.0,3.0,10.0,
7.0,168.0,181.0,12.0,3.0,
7.0,137.0,181.0,0.0,13.0,
18.0,188.0,181.0,3.0,10.0,
57.0,152.0,187.0,12.0,0.0,
65.0,4.0,187.0,10.0,4.0,
132.0,49.0,187.0,12.0,0.0,
98.0,105.0,187.0,1.0,14.0,
59.0,37.0,187.0,6.0,9.0,
195.0,90.0,187.0,9.0,6.0,
95.0,189.0,187.0,8.0,5.0,
80.0,163.0,187.0,12.0,1.0,
42.0,172.0,187.0,0.0,13.0,
175.0,8.0,187.0,4.0,10.0,
40.0,46.0,187.0,2.0,12.0,
141.0,184.0,187.0,3.0,11.0,
25.0,47.0,187.0,12.0,0.0,
100.0,42.0,150.0,7.0,6.0,
109.0,167.0,150.0,11.0,2.0,
26.0,178.0,150.0,2.0,11.0,
112.0,197.0,150.0,7.0,6.0,
68.0,73.0,150.0,2.0,11.0,
45.0,177.0,150.0,3.0,11.0,
141.0,183.0,150.0,0.0,14.0,
7.0,114.0,150.0,11.0,4.0,
22.0,114.0,150.0,1.0,13.0,
112.0,15.0,150.0,3.0,11.0,
152.0,194.0,1.0,11.0,1.0,
36.0,118.0,1.0,6.0,7.0,
176.0,196.0,1.0,13.0,1.0,
193.0,155.0,1.0,6.0,8.0,
141.0,90.0,1.0,4.0,10.0,
105.0,198.0,1.0,5.0,9.0,
83.0,101.0,1.0,2.0,13.0,
11.0,107.0,1.0,3.0,12.0,
92.0,170.0,1.0,1.0,12.0,
103.0,147.0,1.0,3.0,10.0,
25.0,63.0,1.0,6.0,9.0,
55.0,181.0,1.0,7.0,6.0,
62.0,14.0,188.0,9.0,3.0,
105.0,60.0,188.0,1.0,11.0,
199.0,106.0,188.0,13.0,2.0,
58.0,64.0,188.0,4.0,11.0,
57.0,150.0,188.0,12.0,2.0,
192.0,33.0,176.0,0.0,13.0,
74.0,88.0,176.0,12.0,2.0,
50.0,197.0,176.0,9.0,6.0,
182.0,112.0,176.0,8.0,7.0,
169.0,56.0,176.0,15.0,0.0,
145.0,155.0,176.0,5.0,7.0,
88.0,9.0,176.0,1.0,12.0,
28.0,90.0,176.0,2.0,12.0,
182.0,90.0,176.0,4.0,9.0,
139.0,158.0,176.0,7.0,7.0,
183.0,100.0,176.0,0.0,14.0,
93.0,70.0,176.0,8.0,4.0,
64.0,189.0,176.0,2.0,12.0,
69.0,198.0,176.0,10.0,3.0,
172.0,72.0,176.0,9.0,4.0,
180.0,183.0,176.0,5.0,9.0,
21.0,169.0,176.0,15.0,0.0,
136.0,170.0,176.0,0.0,13.0,
49.0,93.0,176.0,14.0,0.0,
33.0,31.0,176.0,0.0,14.0,
166.0,47.0,176.0,7.0,5.0,
172.0,78.0,16.0,6.0,7.0,
157.0,29.0,16.0,15.0,0.0,
187.0,14.0,16.0,13.0,0.0,
122.0,161.0,16.0,14.0,1.0,
126.0,113.0,16.0,12.0,2.0,
9.0,41.0,16.0,14.0,0.0,
32.0,6.0,16.0,13.0,0.0,
37.0,58.0,16.0,14.0,0.0,
70.0,57.0,16.0,14.0,1.0,
79.0,55.0,16.0,15.0,0.0,
193.0,55.0,16.0,13.0,0.0,
132.0,8.0,16.0,0.0,13.0,
177.0,68.0,16.0,13.0,0.0,
118.0,176.0,16.0,15.0,0.0,
177.0,131.0,71.0,3.0,11.0,
176.0,43.0,71.0,5.0,10.0,
14.0,164.0,71.0,11.0,1.0,
93.0,53.0,71.0,2.0,12.0,
118.0,198.0,71.0,1.0,13.0,
2.0,175.0,71.0,6.0,7.0,
86.0,193.0,71.0,10.0,3.0,
181.0,188.0,71.0,4.0,9.0,
